Jour,Gare (départ),Gare (arrivée),Arrivée (réelle),Arrivée (prévue),Départ (prévu),Retard (min),Cause
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Zürich - Hauptbahnhof,11:46:00,11:26:00,07:15:00,20,Travaux sur les voies
08-03-2023,Lille Flandres,Hazebrouck,10:24:00,10:09:00,09:23:00,15,Réutilisation d'un train
09-03-2023,Laroche - Migennes,Paris-Bercy Bourgogne - Pays d'Auvergne,07:47:30,07:32:30,06:07:00,15,Difficultés lors de la préparation du train
08-03-2023,Paris Nord,Saint-Quentin,20:28:00,20:13:00,18:34:00,15,Présence d'individus sur les voies
08-03-2023,Saumur,Nantes,07:51:00,07:46:00,06:22:00,5,Travaux sur les voies
08-03-2023,Tournai,Lille Flandres,09:57:00,09:52:00,09:22:00,5,Incident sur un réseau ferré étranger
07-03-2023,Clermont-Ferrand,Thiers,11:45:00,11:40:00,10:25:00,5,Embouteillage
08-03-2023,Bordeaux Saint-Jean,Marseille - Saint-Charles,18:40:00,18:35:00,12:28:00,5,Présence de manifestants sur les voies
09-03-2023,Dole-Ville,Lons-le-Saunier,11:25:00,11:15:00,10:15:00,10,Prise en charge de clients en correspondance
09-03-2023,Arcachon,Bordeaux Saint-Jean,10:40:00,10:25:00,09:35:00,15,Réutilisation d'un train
07-03-2023,Troyes,Romilly-sur-Seine,07:15:00,07:10:00,05:50:00,5,Embouteillage
07-03-2023,La Tour-du-Pin,Chambéry - Challes-les-Eaux,12:31:00,12:26:00,11:00:00,5,Embouteillage
07-03-2023,Saint-Mariens - Saint-Yzan,Bordeaux Saint-Jean,12:02:00,11:52:00,11:07:00,10,Réutilisation d'un train
07-03-2023,Igney Centre,Sarrebourg,13:41:00,13:36:00,12:57:00,5,Embouteillage
09-03-2023,Paris Nord,Boulogne-Ville,09:25:30,09:15:30,06:52:00,10,Travaux sur les voies
07-03-2023,Marignier,Saint-Gervais-les-Bains - Le Fayet,08:00:00,07:55:00,06:50:00,5,Embouteillage
08-03-2023,Lille Flandres,Amiens,09:15:00,09:10:00,07:53:00,5,Réutilisation d'un train
08-03-2023,Lille Flandres,Béthune,20:17:30,20:12:30,19:15:00,5,Régulation du trafic
08-03-2023,Courtrai,Lille Flandres,16:16:00,15:51:00,15:13:00,25,Obstacle sur la voie
08-03-2023,Saint-André-le-Gaz,Lyon Perrache,09:06:00,09:01:00,08:06:00,5,Réutilisation d'un train
08-03-2023,Châlons-en-Champagne,Verdun,20:23:00,20:18:00,18:30:00,5,Embouteillage
08-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Lausanne,12:22:00,11:52:00,07:53:00,30,Conditions de départ non réunies
08-03-2023,Troyes,Romilly-sur-Seine,08:38:00,08:28:00,07:08:00,10,Embouteillage
09-03-2023,Lille Flandres,Tournai,13:57:00,12:37:00,12:08:00,80,Conditions de départ non réunies
07-03-2023,Lille Flandres,Hazebrouck,08:14:00,08:09:00,07:23:00,5,Régulation du trafic
07-03-2023,Saint-Florentin - Vergigny,Troyes,21:14:00,21:09:00,20:08:00,5,Embouteillage
07-03-2023,Marseille - Saint-Charles,Toulon,14:58:00,14:38:00,13:31:00,20,Réutilisation d'un train
08-03-2023,Saint-Dié-des-Vosges,Sélestat,17:12:00,17:02:00,15:54:00,10,Embouteillage
09-03-2023,Chambéry - Challes-les-Eaux,Bourg-Saint-Maurice,14:56:00,14:51:00,12:51:00,5,Embouteillage
09-03-2023,Coppet,Annecy,09:21:00,09:16:00,07:19:00,5,Incident sur un réseau ferré étranger
07-03-2023,Tournai,Lille Flandres,17:57:00,17:52:00,17:23:00,5,Retard non expliqué
08-03-2023,Lille Flandres,Calais Ville,18:33:00,18:28:00,17:13:00,5,Difficultés lors de la préparation du train
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Besançon-Viotte,20:37:00,19:27:00,16:43:00,70,Travaux sur les voies
08-03-2023,Besançon-Viotte,Morteau,22:32:00,22:27:00,20:47:00,5,Embouteillage
08-03-2023,Lille Flandres,Tournai,18:46:00,18:36:00,18:08:00,10,Réutilisation d'un train
09-03-2023,Le Mans,Laval,09:31:00,09:11:00,08:20:00,20,Heurt d'un animal
08-03-2023,Saint-Dié-des-Vosges,Bruyères,18:22:00,18:17:00,17:24:00,5,Embouteillage
07-03-2023,Marseille - Saint-Charles,Marseille Blancarde,08:16:30,08:06:30,08:02:00,10,Conditions de départ non réunies
07-03-2023,Marseille - Saint-Charles,Avignon Centre,09:13:00,09:08:00,07:41:00,5,Prise en charge de clients en correspondance
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache,14:46:00,14:36:00,12:23:00,10,Incident de circulation
07-03-2023,Saint-Étienne Châteaucreux,Lyon Part Dieu,07:41:00,07:36:00,06:50:00,5,Difficultés lors de la préparation du train
07-03-2023,Courtrai,Lille Flandres,17:56:00,17:51:00,17:13:00,5,Incident sur un réseau ferré étranger
07-03-2023,Lyon - Saint-Paul,L'Arbresle,17:09:00,17:04:00,16:27:00,5,Défaillance de matériel
07-03-2023,Courtrai,Lille Flandres,16:56:00,16:51:00,16:06:00,5,Retard non expliqué
08-03-2023,Châlons-en-Champagne,Château-Thierry,14:59:00,14:49:00,13:04:00,10,Embouteillage
08-03-2023,Montauban Ville Bourbon,Toulouse Matabiau,09:37:00,09:32:00,08:47:00,5,Réutilisation d'un train
08-03-2023,Compiègne,Paris Nord,20:13:00,19:23:00,18:10:00,50,Présence d'individus sur les voies
08-03-2023,Wissembourg,Neustadt Weinstr Hbf,09:29:00,09:24:00,08:32:00,5,Incident sur un réseau ferré étranger
08-03-2023,Sain-Bel,Lyon - Saint-Paul,07:51:00,07:46:00,07:04:00,5,Réutilisation d'un train
08-03-2023,Nantes,Paris - Montparnasse - Hall 1 & 2,09:22:30,09:12:30,07:05:00,10,Prise en charge de clients en correspondance
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache,10:06:00,09:36:00,07:19:00,30,Travaux sur les voies
08-03-2023,Lille Flandres,Courtrai,17:00:00,16:45:00,16:09:00,15,Obstacle sur la voie
08-03-2023,Amiens,Paris Nord,19:36:00,18:56:00,17:38:00,40,Présence d'individus sur les voies
08-03-2023,Charleville-Mézières,Givet,17:52:00,16:32:00,15:35:00,80,Conditions de départ non réunies
08-03-2023,Paris Est,Mannheim - Hauptbahnhof,10:38:00,10:18:00,07:20:00,20,Difficultés lors de la préparation du train
09-03-2023,Bordeaux Saint-Jean,Mont-de-Marsan,12:19:30,12:14:30,10:45:00,5,Défaillance de matériel
08-03-2023,Sain-Bel,Lyon - Saint-Paul,07:51:00,07:46:00,07:04:00,5,Réutilisation d'un train
07-03-2023,Amiens,Paris Nord,09:01:00,08:56:00,07:38:00,5,Réutilisation d'un train
08-03-2023,Charleroi-Central,Maubeuge,07:25:00,07:20:00,06:18:00,5,Incident sur un réseau ferré étranger
08-03-2023,Lille Flandres,Valenciennes,19:00:00,18:55:00,18:09:00,5,Régulation du trafic
09-03-2023,Toulouse Matabiau,Montauban Ville Bourbon,07:18:00,07:13:00,06:28:00,5,Difficultés lors de la préparation du train
08-03-2023,Saint-Quentin,Paris Nord,09:11:00,08:26:00,06:46:00,45,Conditions de départ non réunies
08-03-2023,Metz Ville,Longwy,10:20:00,10:15:00,09:20:00,5,Embouteillage
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache,10:06:00,09:36:00,07:19:00,30,Travaux sur les voies
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Marseille - Saint-Charles,11:16:00,10:56:00,07:34:00,20,Travaux sur les voies
09-03-2023,Nancy,Pont-Saint-Vincent,08:26:00,08:16:00,07:51:00,10,Prise en charge de clients en correspondance
08-03-2023,Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2,14:46:30,14:41:30,12:20:00,5,Retard non expliqué
09-03-2023,Neustadt Weinstr Hbf,Wissembourg,10:33:00,10:28:00,09:36:00,5,Incident sur un réseau ferré étranger
07-03-2023,Amiens,Arras,13:34:00,13:14:00,11:10:00,20,Embouteillage
09-03-2023,Saint-Nazaire,Nantes,11:02:00,10:52:00,10:15:00,10,Réutilisation d'un train
08-03-2023,Chambéry - Challes-les-Eaux,Culoz,18:10:00,18:05:00,16:52:00,5,Embouteillage
08-03-2023,Remiremont,Bussang,14:00:00,13:55:00,13:00:00,5,Embouteillage
09-03-2023,Valenciennes,Cambrai,07:41:00,07:36:00,06:53:00,5,Régulation du trafic
07-03-2023,Annemasse,Coppet,17:31:00,17:26:00,16:35:00,5,Difficultés lors de la préparation du train
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Marseille - Saint-Charles,14:31:00,13:56:00,10:34:00,35,Réutilisation d'un train
09-03-2023,Calais Ville,Dunkerque,07:17:00,06:47:00,06:02:00,30,Réutilisation d'un train
07-03-2023,La Bresse - Place du Champtel,Remiremont,16:55:00,16:50:00,15:47:00,5,Embouteillage
07-03-2023,Avignon Centre,Marseille - Saint-Charles,17:28:00,17:18:00,15:53:00,10,Conditions de départ non réunies
08-03-2023,Nantes,Saint-Nazaire,07:34:00,07:24:00,06:38:00,10,Régulation du trafic
08-03-2023,Lille Flandres,Paris Nord,19:49:00,19:44:00,18:42:00,5,Réutilisation d'un train
08-03-2023,Chambéry - Challes-les-Eaux,Culoz,18:10:00,18:05:00,16:52:00,5,Embouteillage
09-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Marseille - Saint-Charles,10:45:00,09:25:00,05:45:00,80,Travaux sur les voies
08-03-2023,Metz Ville,Luxembourg (CFL),20:07:00,19:22:00,18:31:00,45,Prise en charge de clients en correspondance
07-03-2023,Creil,Paris Nord,06:53:00,06:23:00,05:51:00,30,Difficultés lors de la préparation du train
08-03-2023,Metz Ville,Verdun,20:52:00,20:27:00,18:55:00,25,Embouteillage
08-03-2023,La Bresse - Place du Champtel,Remiremont,17:55:00,17:50:00,16:47:00,5,Embouteillage
07-03-2023,Toulouse Matabiau,Narbonne,16:59:00,16:54:00,13:17:00,5,Embouteillage
09-03-2023,Paris Nord,Boulogne-Ville,09:25:30,09:15:30,06:52:00,10,Travaux sur les voies
07-03-2023,Bellegarde-sur-Valserine Gare,Évian-les-Bains,14:29:00,14:19:00,12:14:00,10,Embouteillage
07-03-2023,Dijon Ville,Besançon-Viotte,11:22:00,11:07:00,10:12:00,15,Conditions de départ non réunies
08-03-2023,Cavaillon,Avignon Centre,10:55:00,10:50:00,09:30:00,5,Embouteillage
08-03-2023,Albertville,Moûtiers - Salins - Brides-les-Bains,08:45:00,08:35:00,07:50:00,10,Embouteillage
07-03-2023,Lyon Part Dieu,Saint-Étienne Châteaucreux,17:15:00,17:10:00,16:24:00,5,Réutilisation d'un train
07-03-2023,Paris Saint-Lazare,Caen,20:27:30,20:22:30,18:08:00,5,Présence d'individus sur les voies
07-03-2023,Toulouse Matabiau,Bayonne,20:17:00,20:12:00,15:37:00,5,Embouteillage
07-03-2023,Marignier,Saint-Gervais-les-Bains - Le Fayet,08:00:00,07:55:00,06:50:00,5,Embouteillage
08-03-2023,Lille Flandres,Amiens,09:15:00,09:10:00,07:53:00,5,Réutilisation d'un train
07-03-2023,Bordeaux Saint-Jean,Saint-Mariens - Saint-Yzan,11:57:00,11:52:00,11:08:00,5,Conditions de départ non réunies
08-03-2023,Thionville,Bouzonville,20:37:00,20:22:00,19:18:00,15,Embouteillage
08-03-2023,Chambéry - Challes-les-Eaux,Bourg-Saint-Maurice,20:39:20,20:34:20,18:32:00,5,Embouteillage
09-03-2023,Lyon Part Dieu,Paris - Gare de Lyon - Hall 1 & 2,13:39:00,13:34:00,11:34:00,5,Travaux sur les voies
09-03-2023,Amiens,Rouen Rive Droite,10:58:00,10:13:00,08:25:00,45,Réutilisation d'un train
09-03-2023,Tournai,Lille Flandres,12:02:00,11:52:00,11:22:00,10,Incident sur un réseau ferré étranger
08-03-2023,Strasbourg,Rothau,17:45:00,17:35:00,16:44:00,10,Conditions de départ non réunies
08-03-2023,Paris Nord,Lille Flandres,18:28:00,18:18:00,17:16:00,10,Difficultés lors de la préparation du train
09-03-2023,Bellegarde-sur-Valserine Gare,Évian-les-Bains,15:01:00,14:56:00,12:14:00,5,Embouteillage
09-03-2023,Nantes,Paris - Montparnasse - Hall 1 & 2,09:17:30,09:12:30,07:05:00,5,Prise en charge de clients en correspondance
07-03-2023,Miramas,Avignon TGV,12:30:00,11:55:00,09:05:00,35,Embouteillage
09-03-2023,Lille Flandres,Lens,08:50:00,08:45:00,07:47:00,5,Régulation du trafic
08-03-2023,Haguenau,Bitche,21:07:00,20:57:00,19:50:00,10,Retard non expliqué
07-03-2023,Tournai,Lille Flandres,20:02:00,19:52:00,19:23:00,10,Incident sur un réseau ferré étranger
08-03-2023,Clisson,Nantes,07:55:00,07:50:00,07:23:00,5,Réutilisation d'un train
08-03-2023,Nantes,Saint-Nazaire,07:34:00,07:24:00,06:38:00,10,Régulation du trafic
09-03-2023,Chambéry - Challes-les-Eaux,Grenoble,10:16:00,09:51:00,08:57:00,25,Défaillance de matériel
09-03-2023,Le Mans,Tours,08:57:00,07:32:00,06:20:00,85,Conditions de départ non réunies
08-03-2023,Saint-Etienne-Châteaucreux Gare Routière,Montbrison,21:23:00,21:18:00,20:18:00,5,Embouteillage
09-03-2023,Nantes,Saint-Nazaire,08:04:00,07:24:00,06:38:00,40,Conditions de départ non réunies
07-03-2023,Lyon Perrache,Saint-André-le-Gaz,09:07:30,08:52:30,07:57:00,15,Réutilisation d'un train
08-03-2023,Lille Flandres,Calais Ville,08:48:00,07:28:00,06:13:00,80,Conditions de départ non réunies
07-03-2023,La Bresse - Place du Champtel,Remiremont,18:55:00,18:50:00,17:47:00,5,Embouteillage
08-03-2023,Saint-Etienne-Châteaucreux Gare Routière,Montbrison,21:23:00,21:18:00,20:18:00,5,Embouteillage
08-03-2023,Marseille - Saint-Charles,Marseille Blancarde,17:17:30,17:12:30,17:08:00,5,Régulation du trafic
08-03-2023,Saint-Dié-des-Vosges,Sélestat,18:32:00,18:02:00,16:46:00,30,Incident technique sur le car
08-03-2023,Bellegarde-sur-Valserine Gare,Lyon-Part-Dieu - Gare Routière,11:50:00,11:40:00,10:00:00,10,Embouteillage
08-03-2023,Chambéry - Challes-les-Eaux,Bourg-Saint-Maurice,21:26:00,21:21:00,18:35:00,5,Embouteillage
08-03-2023,Paris Nord,Amiens,21:31:00,20:51:00,19:07:00,40,Présence d'individus sur les voies
08-03-2023,Sélestat,Ste-Marie-aux-Mines Place de Gaulle,21:01:00,20:56:00,20:23:00,5,Embouteillage
09-03-2023,Nantes,Saint-Nazaire,08:04:00,07:24:00,06:38:00,40,Conditions de départ non réunies
08-03-2023,La Bresse - Place du Champtel,Remiremont,08:07:00,08:02:00,06:59:00,5,Embouteillage
07-03-2023,Hazebrouck,Lille Flandres,08:17:00,08:07:00,07:21:00,10,Défaillance de matériel
07-03-2023,Longwy,Longuyon,20:26:00,20:21:00,19:49:00,5,Embouteillage
09-03-2023,Saumur,Angers-Saint-Laud,07:51:30,07:36:30,07:00:00,15,Régulation du trafic
08-03-2023,Sarrebourg,Igney Centre,19:54:00,19:49:00,19:10:00,5,Embouteillage
09-03-2023,Juvancourt,Bar-sur-Aube,13:37:00,13:32:00,12:58:00,5,Embouteillage
08-03-2023,Lichtenberg Église,Ingwiller,19:02:00,18:57:00,18:34:00,5,Embouteillage
09-03-2023,Grenoble,Gap,11:12:00,11:07:00,08:10:00,5,Difficultés lors de la préparation du train
07-03-2023,Metz Ville,Verdun,15:22:00,15:17:00,13:45:00,5,Embouteillage
09-03-2023,Lens,Lille Flandres,06:56:00,06:51:00,06:10:00,5,Défaillance de matériel
09-03-2023,Grenoble,Gap,11:12:00,11:07:00,08:10:00,5,Difficultés lors de la préparation du train
07-03-2023,Lille Flandres,Tournai,20:41:00,20:36:00,20:08:00,5,Réutilisation d'un train
08-03-2023,Nantes,Cholet,09:25:00,09:20:00,08:29:00,5,Travaux sur les voies
08-03-2023,Angers-Saint-Laud,Le Mans,09:03:00,08:58:00,07:52:00,5,Régulation du trafic
07-03-2023,Saint-Étienne Châteaucreux,Lyon Part Dieu,15:51:00,15:36:00,14:50:00,15,Défaillance de matériel
08-03-2023,Douai,Lille Flandres,09:38:00,09:33:00,08:51:00,5,Réutilisation d'un train
08-03-2023,Marseille - Saint-Charles,Les Arcs - Draguignan,11:42:30,11:22:30,09:57:00,20,Régulation du trafic
09-03-2023,Clisson,Nantes,06:55:00,06:20:00,05:53:00,35,Grève SNCF inopinée
07-03-2023,Paris Nord,Amiens,07:37:00,07:22:00,06:04:00,15,Conditions de départ non réunies
09-03-2023,Marseille - Saint-Charles,Marseille - Saint-Charles,08:06:00,07:41:00,07:41:00,25,Conditions de départ non réunies
07-03-2023,Thionville,Bouzonville,20:32:00,20:22:00,19:18:00,10,Embouteillage
08-03-2023,Lyon Part Dieu,Grenoble,10:10:30,09:40:30,08:16:00,30,Réutilisation d'un train
08-03-2023,Andelot,Saint-Claude,21:02:00,20:57:00,19:10:00,5,Prise en charge de clients en correspondance
08-03-2023,Perpignan,Paris - Gare de Lyon - Hall 1 & 2,18:23:00,18:18:00,13:04:00,5,Retard non expliqué
07-03-2023,Lille Flandres,Paris Nord,08:04:00,07:44:00,06:42:00,20,Réutilisation d'un train
08-03-2023,Angers-Saint-Laud,Nantes,18:43:00,18:38:00,17:42:00,5,Conditions de départ non réunies
08-03-2023,Orléans,Paris Austerlitz,07:11:00,07:06:00,06:03:00,5,Difficultés lors de la préparation du train
07-03-2023,Juvancourt,Bar-sur-Aube,13:37:00,13:32:00,12:58:00,5,Embouteillage
09-03-2023,Troyes,Chaumont,15:15:00,15:10:00,13:25:00,5,Embouteillage
07-03-2023,Annemasse,Coppet,14:46:00,14:41:00,13:50:00,5,Régulation du trafic
09-03-2023,Saarbrücken - Hauptbahnhof,Sarreguemines,08:45:00,08:40:00,08:10:00,5,Retard non expliqué
08-03-2023,Joinville,Saint-Dizier,19:47:00,19:42:00,18:52:00,5,Embouteillage
07-03-2023,Paris Nord,Amiens,10:52:00,10:42:00,09:07:00,10,Conditions de départ non réunies
08-03-2023,Reims,Laon,07:35:30,07:25:30,06:39:00,10,Régulation du trafic
07-03-2023,Châlons-en-Champagne,Verdun,20:23:00,20:18:00,18:30:00,5,Embouteillage
08-03-2023,Chambéry - Challes-les-Eaux,Grenoble,10:06:00,09:51:00,08:57:00,15,Grève SNCF inopinée
09-03-2023,Laroche - Migennes,Auxerre-Saint-Gervais,13:55:00,13:50:00,13:05:00,5,Embouteillage
08-03-2023,Givet,Charleville-Mézières,16:25:00,14:25:00,13:20:00,120,Panne de signalisation
09-03-2023,Troyes,Romilly-sur-Seine,08:33:00,08:28:00,07:08:00,5,Embouteillage
07-03-2023,Laroche - Migennes,Troyes,17:05:00,17:00:00,15:00:00,5,Embouteillage
08-03-2023,Lyon Gorge de Loup,Lozanne,07:15:00,07:10:00,06:28:00,5,Embouteillage
08-03-2023,Annemasse,Coppet,10:31:00,10:26:00,09:35:00,5,Difficultés lors de la préparation du train
09-03-2023,Toulouse Matabiau,Narbonne,15:51:00,15:41:00,12:04:00,10,Embouteillage
08-03-2023,Charleville-Mézières,Givet,20:14:00,19:39:00,18:35:00,35,Réutilisation d'un train
07-03-2023,Luxembourg (CFL),Metz Ville,16:56:30,16:51:30,15:58:00,5,Régulation du trafic
07-03-2023,Bordeaux Saint-Jean,Saint-Mariens - Saint-Yzan,11:07:00,10:52:00,10:08:00,15,Difficultés lors de la préparation du train
07-03-2023,Sélestat,Ribeauville Gare Routière,16:46:00,16:41:00,16:15:00,5,Embouteillage
08-03-2023,Lille Flandres,Douai,08:44:00,08:39:00,07:57:00,5,Régulation du trafic
07-03-2023,La Ferté-sur-Chiers,Sedan Place Calonne,07:25:00,07:20:00,06:21:00,5,Embouteillage
09-03-2023,Dunkerque,Lille Flandres,07:25:00,07:20:00,06:12:00,5,Défaut d'alimentation électrique
09-03-2023,Saint-Nazaire,Nantes,09:06:00,08:21:00,07:34:00,45,Réutilisation d'un train
08-03-2023,Auxerre-Saint-Gervais,Corbigny,14:12:00,14:07:00,12:16:00,5,Embouteillage
09-03-2023,Lyon Part Dieu,Lyon Part Dieu,08:25:00,08:20:00,08:20:00,5,Mise à quai tardive en gare origine
09-03-2023,Clamecy,Auxerre-Saint-Gervais,09:50:00,09:40:00,08:24:00,10,Embouteillage
09-03-2023,Saint-Florentin - Vergigny,Troyes,13:39:00,13:34:00,11:53:00,5,Embouteillage
08-03-2023,Paris Austerlitz,Tours,20:46:30,20:41:30,18:37:00,5,Régulation du trafic
08-03-2023,La Bresse - Place du Champtel,Remiremont,07:06:00,07:01:00,05:58:00,5,Embouteillage
07-03-2023,Creil,Paris Nord,15:58:00,15:53:00,15:20:00,5,Conditions de départ non réunies
08-03-2023,L'Arbresle,Lyon - Saint-Paul,08:06:00,08:01:00,07:24:00,5,Réutilisation d'un train
08-03-2023,Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache,14:41:00,14:36:00,12:23:00,5,Retard non expliqué
08-03-2023,Juvancourt,Bar-sur-Aube,13:37:00,13:32:00,12:58:00,5,Embouteillage
08-03-2023,Remiremont,La Bresse - Claudel,14:02:00,13:57:00,13:00:00,5,Embouteillage
08-03-2023,Troyes,Saint-Florentin - Vergigny,15:58:00,15:53:00,14:15:00,5,Embouteillage
